ticker,week,weekly_close,weekly_return,next_week_return,lag1_return,news_count,fda_mention_count,regulatory_event_flag,week_start
AMGN,2026-02-02/2026-02-08,381.6753234863281,0.12413711651283132,-0.03271188959998117,-0.00832487300595508,103.0,0.0,0.0,2026-02-02
AMGN,2026-02-09/2026-02-15,369.19000244140625,-0.03271188959998117,0.015059989495452841,0.12413711651283132,29.0,0.0,0.0,2026-02-09
AMGN,2026-02-16/2026-02-22,374.75,0.015059989495452841,0.03578386567607561,-0.03271188959998117,31.0,0.0,0.0,2026-02-16
AMGN,2026-02-23/2026-03-01,388.1600036621094,0.03578386567607561,-0.047995684014445206,0.015059989495452841,21.0,0.0,0.0,2026-02-23
AMGN,2026-03-02/2026-03-08,369.5299987792969,-0.047995684014445206,-0.008984405420902286,0.03578386567607561,13.0,0.0,0.0,2026-03-02
BIIB,2025-12-01/2025-12-07,181.3000030517578,-0.004338477137793451,-0.03971316506920697,0.03873356057003652,0.0,0.0,0.0,2025-12-01
BIIB,2025-12-08/2025-12-14,174.10000610351562,-0.03971316506920697,0.0040206601016774535,-0.004338477137793451,0.0,0.0,0.0,2025-12-08
BIIB,2025-12-15/2025-12-21,174.8000030517578,0.0040206601016774535,0.013043471049721811,-0.03971316506920697,9.0,0.0,0.0,2025-12-15
BIIB,2025-12-22/2025-12-28,177.0800018310547,0.013043471049721811,0.004178933168693222,0.0040206601016774535,8.0,0.0,0.0,2025-12-22
BIIB,2025-12-29/2026-01-04,177.82000732421875,0.004178933168693222,0.055111840002910695,0.013043471049721811,6.0,0.0,0.0,2025-12-29
BIIB,2026-01-05/2026-01-11,187.6199951171875,0.055111840002910695,-0.12365418160122787,0.004178933168693222,17.0,0.0,0.0,2026-01-05
BIIB,2026-01-12/2026-01-18,164.4199981689453,-0.12365418160122787,0.04360782294607479,0.055111840002910695,16.0,0.0,0.0,2026-01-12
BIIB,2026-01-19/2026-01-25,171.58999633789062,0.04360782294607479,0.0483711360154917,-0.12365418160122787,4.0,0.0,0.0,2026-01-19
BIIB,2026-01-26/2026-02-01,179.88999938964844,0.0483711360154917,0.11835006592010644,0.04360782294607479,10.0,0.0,0.0,2026-01-26
BIIB,2026-02-02/2026-02-08,201.17999267578125,0.11835006592010644,-0.02316327951572328,0.0483711360154917,11.0,0.0,0.0,2026-02-02
BIIB,2026-02-09/2026-02-15,196.52000427246097,-0.02316327951572328,-0.02284757477889643,0.11835006592010644,12.0,0.0,0.0,2026-02-09
BIIB,2026-02-16/2026-02-22,192.02999877929688,-0.02284757477889643,-0.0010935346373639465,-0.02316327951572328,20.0,0.0,0.0,2026-02-16
BIIB,2026-02-23/2026-03-01,191.82000732421875,-0.0010935346373639465,-0.036231946312483276,-0.02284757477889643,6.0,0.0,0.0,2026-02-23
BIIB,2026-03-02/2026-03-08,184.8699951171875,-0.036231946312483276,-0.017958523033038243,-0.0010935346373639465,9.0,0.0,0.0,2026-03-02
BMY,2025-12-01/2025-12-07,51.54090881347656,0.05995937662074402,0.004985589668969448,0.06378381436878988,0.0,0.0,0.0,2025-12-01
